Average Domestic Airline Itinerary Fares By Origin City for Q2 2020 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
188,EVV,Evansville Regional,Evansville,IN,264.70,325.21," 10,601 ",,,,,,,,,,,
189,FAY,Fayetteville Regional/Grannis Field,Fayetteville,NC,304.00,373.51," 10,527 ",,,,,,,,,,,
190,MOT,Minot International,Minot,ND,340.30,418.10," 10,415 ",,,,,,,,,,,
191,LCK,Rickenbacker International,Columbus,OH,108.39,133.17," 10,393 ",,,,,,,,,,,
192,MGM,Montgomery Regional,Montgomery,AL,337.77,415.00," 10,260 ",,,,,,,,,,,
193,MTJ,Montrose Regional,Montrose/Delta,CO,428.81,526.85," 10,218 ",,,,,,,,,,,
194,LRD,Laredo International,Laredo,TX,315.52,387.66," 9,858 ",,,,,,,,,,,
195,BMI,Central Il Regional Airport at Bloomington,Bloomington/Normal,IL,183.27,225.17," 9,540 ",,,,,,,,,,,
196,ORH,Worcester Regional,Worcester,MA,191.20,234.92," 9,491 ",,,,,,,,,,,
197,RFD,Chicago/Rockford International,Rockford,IL,112.10,137.73," 9,435 ",,,,,,,,,,,
198,STX,Henry E. Rohlsen,Christiansted,VI,451.61,554.87," 8,986 ",,,,,,,,,,,
199,OAJ,Albert J Ellis,Jacksonville/Camp Lejeune,NC,290.63,357.08," 8,903 ",,,,,,,,,,,
200,SGU,St George Regional,St. George,UT,254.80,313.06," 7,927 ",,,,,,,,,,,
201,EGE,Eagle County Regional,Eagle,CO,430.11,528.45," 7,923 ",,,,,,,,,,,
202,SAF,Santa Fe Municipal,Santa Fe,NM,308.13,378.58," 7,660 ",,,,,,,,,,,
203,SCE,University Park,State College,PA,260.57,320.15," 7,557 ",,,,,,,,,,,
204,ACV,California Redwood Coast Humboldt County,Arcata/Eureka,CA,453.32,556.97," 7,528 ",,,,,,,,,,,
205,DLH,Duluth International,Duluth,MN,249.78,306.88," 7,375 ",,,,,,,,,,,
206,PBG,Plattsburgh International,Plattsburgh,NY,187.38,230.23," 6,860 ",,,,,,,,,,,
207,LAN,Capital Region International,Lansing,MI,259.72,319.10," 6,720 ",,,,,,,,,,,
208,HDN,Yampa Valley,Hayden,CO,395.16,485.51," 6,709 ",,,,,,,,,,,
209,XWA,Williston Basin International,Williston,ND,487.89,599.44," 6,630 ",,,,,,,,,,,
210,LNK,Lincoln Airport,Lincoln,NE,346.47,425.69," 6,629 ",,,,,,,,,,,
211,USA,Concord Padgett Regional,Concord,NC,99.30,122.00," 6,582 ",,,,,,,,,,,
212,SWF,New York Stewart International,Newburgh/Poughkeepsie,NY,116.15,142.70," 6,432 ",,,,,,,,,,,
213,MBS,MBS International,Saginaw/Bay City/Midland,MI,359.50,441.70," 6,283 ",,,,,,,,,,,
214,HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,141.89,174.33," 6,189 ",,,,,,,,,,,
215,MLU,Monroe Regional,Monroe,LA,303.57,372.98," 6,137 ",,,,,,,,,,,
